,Group,Deelnemer,T1_KQ_Total_Score,T2_KQ_Total_Score,Score_Difference,T-Test Statistic,T-Test P-Value,T-Test P-Value Corrected,Mann-Whitney Statistic,Mann-Whitney P-Value,Mann-Whitney P-Value Corrected
95,Controle,2020006,16,0,-16,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
96,Controle,2020009,10,10,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
97,Controle,2020010,11,12,1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
98,Controle,2020011,10,0,-10,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
99,Controle,2020015,10,12,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
100,Controle,2020016,8,10,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
101,Controle,2020018,14,0,-14,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
102,Controle,2020020,10,0,-10,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
103,Controle,2020025,7,15,8,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
104,Controle,2020029,7,0,-7,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
105,Controle,2020031,12,14,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
106,Controle,2020036,7,15,8,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
107,Controle,2020036,11,13,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
108,Controle,2020037,13,9,-4,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
109,Controle,2020038,13,15,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
110,Controle,2020039,11,0,-11,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
111,Controle,2020040,8,8,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
112,Controle,2020044,11,12,1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
113,Controle,2020049,16,0,-16,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
114,Controle,2020052,10,10,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
115,Controle,2020053,14,11,-3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
116,Controle,2020059,7,10,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
117,Controle,2020062,4,9,5,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
118,Controle,2020063,10,0,-10,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
119,Controle,2020063,7,10,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
120,Controle,2020064,8,0,-8,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
121,Controle,2020065,8,10,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
122,Controle,2020072,13,18,5,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
123,Controle,2020073,5,0,-5,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
124,Controle,2020080,16,0,-16,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
125,Controle,2020081,10,5,-5,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
126,Controle,2020083,14,12,-2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
127,Controle,2020087,11,16,5,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
128,Controle,2020090,14,0,-14,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
129,Controle,2020092,5,11,6,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
